name,path,category,role,description,rationale,integrationStrategy,status,date,commit
OmniParser,OmniParser,Other,Submodule,"Submodule at OmniParser (Version: v.2.0.1)",Project dependency,Git Submodule,Active,2025-09-09 16:51:59 -0400,b0d5c9f5701f7e2be4771872e6e928da77759df3
agent-sessions,external/agents_repos/agent-sessions,Agent,Submodule,"Submodule at external/agents_repos/agent-sessions (Version: v1.0-521-g1943003)",Project dependency,Git Submodule,Active,2025-12-29 14:34:23 -0800,1943003fd3599f28e067c1ea38619e603de9c571
agentic,external/agents_repos/agentic,Agent,Submodule,"Submodule at external/agents_repos/agentic (Version: v0.1.9-2-g3a39153)",Project dependency,Git Submodule,Active,2025-09-02 16:31:55 -0700,3a3915310d3d03d4a45114b7b0c0a17c34bf0e8b
claude-squad,external/agents_repos/claude-squad,Agent,Submodule,"Submodule at external/agents_repos/claude-squad (Version: v1.0.10-11-g9d7ca2d)",Project dependency,Git Submodule,Active,2025-12-24 16:14:38 -0500,9d7ca2d543df20b6d724008a6466f7a29c3c1666
humanlayer,external/agents_repos/humanlayer,Agent,Submodule,"Submodule at external/agents_repos/humanlayer (Version: v0.13.1-96-g5486c0ce)",Project dependency,Git Submodule,Active,2025-12-18 12:31:15 -0600,5486c0ce95b12cfc2597c7e0e3233c608446d1fd
maestro,external/agents_repos/maestro,Agent,Submodule,"Submodule at external/agents_repos/maestro (Version: v0.13.2-52-g4d67cce6)",Project dependency,Git Submodule,Active,2025-12-30 04:14:24 -0600,4d67cce6e115ad9e3c9874c9461cc3ec398e9ed1
mark-hingston-workflows,external/agents_repos/mark-hingston-workflows,Agent,Submodule,"Submodule at external/agents_repos/mark-hingston-workflows (Version: heads/main)",Project dependency,Git Submodule,Active,2025-12-19 13:17:33 +0000,1c3c167506d8e5ea575ab7aa1fa6316766cd2c6f
open-agents,external/agents_repos/open-agents,Agent,Submodule,"Submodule at external/agents_repos/open-agents (Version: v0.5.0-3-g6465208)",Project dependency,Git Submodule,Active,2025-12-30 00:03:48 +0000,6465208342906078e52d92576fa88d8514c6a628
openchamber,external/agents_repos/openchamber,Agent,Submodule,"Submodule at external/agents_repos/openchamber (Version: v1.3.8-2-gf534e0b)",Project dependency,Git Submodule,Active,2025-12-30 01:35:31 +0200,f534e0bc319a62a91f71c5b93d71c10856fb4bc2
opencode-agents,external/agents_repos/opencode-agents,Agent,Submodule,"Submodule at external/agents_repos/opencode-agents (Version: heads/main)",Project dependency,Git Submodule,Active,2025-12-29 08:46:20 +0300,81f03c97ccc4b8c472522923c906e2ab3fbd5867
opencode-elf,external/agents_repos/opencode-elf,Agent,Submodule,"Submodule at external/agents_repos/opencode-elf (Version: v0.1.1-19-g9959573)",Project dependency,Git Submodule,Active,2025-12-28 14:18:30 +0000,9959573363631867929986e0f06b0638cb88bc04
opencode-maestro,external/agents_repos/opencode-maestro,Agent,Submodule,"Submodule at external/agents_repos/opencode-maestro (Version: heads/main)",Project dependency,Git Submodule,Active,2025-12-18 10:00:34 +1000,ee8cf684b6b036b58ea3fc8913b8a82912d24a3e
opencode-parallel-agents,external/agents_repos/opencode-parallel-agents,Agent,Submodule,"Submodule at external/agents_repos/opencode-parallel-agents (Version: heads/main)",Project dependency,Git Submodule,Active,2025-09-21 19:53:39 +0000,3b2fe5358c847d09adb034fd3e0bd0c3d5af25a6
opencodetisan,external/agents_repos/opencodetisan,Agent,Submodule,"Submodule at external/agents_repos/opencodetisan (Version: heads/main)",Project dependency,Git Submodule,Active,2024-02-26 09:45:15 +0800,bdf95fc79fdb903b14ad32afa602965543fb6d1c
personal-agent-systems,external/agents_repos/personal-agent-systems,Agent,Submodule,"Submodule at external/agents_repos/personal-agent-systems (Version: heads/main)",Project dependency,Git Submodule,Active,2025-09-12 22:55:34 +0100,5f6a35bb13b740eedca225116b51d9f116dead95
rse-agents,external/agents_repos/rse-agents,Agent,Submodule,"Submodule at external/agents_repos/rse-agents (Version: heads/main)",Project dependency,Git Submodule,Active,2025-12-12 09:36:16 -0600,7667eeff23207087fba205f662b2350e4cf2d0ff
